Proto,Src IP Addr,Src Pt,Dst IP Addr,Dst Pt,Flags
TCP,10.0.2.4,38183,10.0.2.5,1033,S
TCP,10.0.2.4,38183,10.0.2.5,15002,S
TCP,10.0.2.5,1863,10.0.2.4,38183,AR
TCP,10.0.2.5,50300,10.0.2.4,38183,AR
TCP,10.0.2.5,5280,10.0.2.4,38183,AR
TCP,10.0.2.5,1594,10.0.2.4,38183,AR
TCP,10.0.2.5,5550,10.0.2.4,38183,AR
TCP,10.0.2.5,407,10.0.2.4,38183,AR
TCP,10.0.2.5,5902,10.0.2.4,38183,AR
TCP,10.0.2.4,38183,10.0.2.5,981,S
TCP,10.0.2.5,8090,10.0.2.4,38183,AR
TCP,10.0.2.4,38183,10.0.2.5,1078,S
TCP,10.0.2.4,38183,10.0.2.5,1718,S
TCP,10.0.2.4,38183,10.0.2.5,48080,S
TCP,10.0.2.5,7106,10.0.2.4,38183,AR
TCP,10.0.2.4,38183,10.0.2.5,1063,S
TCP,10.0.2.4,38183,10.0.2.5,5679,S
TCP,10.0.2.4,38183,10.0.2.5,9050,S
TCP,10.0.2.4,38183,10.0.2.5,1700,S
TCP,10.0.2.5,2065,10.0.2.4,38183,AR
TCP,10.0.2.5,1033,10.0.2.4,38183,AR
TCP,10.0.2.5,15002,10.0.2.4,38183,AR
TCP,10.0.2.4,38183,10.0.2.5,1259,S
TCP,10.0.2.4,38183,10.0.2.5,3370,S
TCP,10.0.2.4,38183,10.0.2.5,8652,S
TCP,10.0.2.4,38183,10.0.2.5,1322,S
TCP,10.0.2.5,981,10.0.2.4,38183,AR
TCP,10.0.2.5,1078,10.0.2.4,38183,AR
TCP,10.0.2.5,1718,10.0.2.4,38183,AR
TCP,10.0.2.5,48080,10.0.2.4,38183,AR
TCP,10.0.2.4,38183,10.0.2.5,32784,S
TCP,10.0.2.4,38183,10.0.2.5,1862,S
TCP,10.0.2.4,38183,10.0.2.5,83,S
TCP,10.0.2.5,1063,10.0.2.4,38183,AR
TCP,10.0.2.5,5679,10.0.2.4,38183,AR
TCP,10.0.2.5,9050,10.0.2.4,38183,AR
